Gene Group 1	Enrichment Score: 4.680528599640149
2687211	glutamine--phosphoribosylpyrophosphate amidotransferase(purF)
2687210	phosphoribosylformylglycinamidine synthase(purQ)
2687407	phosphoribosylaminoimidazole synthetase(purM)
2685207	phosphoribosylglycinamide formyltransferase, folate-dependent(purN)
2687009	phosphoribosylamine--glycine ligase(purD)
2687312	phosphoribosylformylglycinamidine synthase, PurS and PurL domains(purSL)

Gene Group 5	Enrichment Score: 2.144975547715543
OFFICIAL_GENE_SYMBOL	Gene Name
2688189	aspartyl/glutamyl-tRNA amidotransferase subunit C(gatC)
2685658	glycyl-tRNA ligase subunit beta(glyS)
2686249	tryptophanyl-tRNA ligase(trpS)
2685860	aspartyl-tRNA ligase(aspS)
2687983	valyl-tRNA ligase(valS)
2685936	asparaginyl-tRNA ligase(asnS)
2685617	glycyl-tRNA ligase subunit alpha(glyQ)

Gene Group 6	Enrichment Score: 1.8909015031924656
OFFICIAL_GENE_SYMBOL	Gene Name
2686033	diaminopimelate epimerase(dapF)
2687889	4-hydroxy-tetrahydrodipicolinate synthase(dapA)
2687944	diaminopimelate decarboxylase(lysA)
2688723	aspartate kinase(GSU1799)
2687940	4-hydroxy-tetrahydrodipicolinate reductase(dapB)

Gene Group 7	Enrichment Score: 1.7219195126843412
OFFICIAL_GENE_SYMBOL	Gene Name
13439083	ABC transporter ATP-binding protein(ybhF-C)
2685961	sigma-54-dependent transcriptional response regulator(GSU2753)
13439082	ABC transporter ATP-binding protein(ybhF-N)
2688420	ABC transporter ATP-binding protein(GSU1162)
2687775	sigma-54-dependent transcriptional response regulator(GSU2581)
2685404	sigma-54-dependent transcriptional response regulator(GSU1653)
2686439	excinuclease ABC subunit A(uvrA)
2687863	sensor sigma-54-dependent transcriptional regulator(GSU2475)
2687472	Fis family transcriptional regulator(GSU0280)
2686112	ABC transporter ATP-binding protein(xapH)
2687560	thymidylate kinase(tmk-2)
2687395	MoxR family ATPase(GSU1696)
2685992	AAA ATPase(GSU2745)
2686082	peptide ABC transporter ATP-binding protein(GSU2623)
2688174	amino acid ABC transporter ATP-binding protein(GSU2651)
2686265	peptide ABC transporter ATP-binding protein(GSU2624)

Gene Group 8	Enrichment Score: 1.7176788504032292
OFFICIAL_GENE_SYMBOL	Gene Name
2688164	sensor histidine kinase(GSU0103)
2687503	sensor histidine kinase(GSU0281)
2685950	periplasmic substrate-binding histidine kinase(GSU2755)
2688158	sensor histidine kinase, PAS domain-containing(GSU1249)
2688721	response receiver histidine kinase(GSU1038)
2686886	sensor histidine kinase, PAS, PAS, PAS and PAS domain-containing(GSU2815)
2687214	sensor histidine kinase response receiver, PAS domain-containing(GSU0718)
2687165	sensor histidine kinase, HAMP domain-containing(GSU0373)
2686129	sensor histidine kinase PilS, PAS domain-containing(pilS)
2687868	sensor diguanylate cyclase, PAS domain-containing(GSU1400)
2687162	sensor histidine kinase, PAS and GAF domain-containing(GSU0144)
2686924	sensor histidine kinase, HAMP domain-containing(GSU2288)
2687486	sensor histidine kinase(GSU0283)
2686734	sensor histidine kinase response regulator(GSU0356)
2686873	sensor histidine kinase, PAS and GAF domain-containing(GSU3437)
2687997	sensor histidine kinase, HAMP domain-containing(GSU2042)
2688279	sensor histidine kinase, GAF domain-containing(GSU3252)
2686303	sensor histidine kinase response regulator, PAS, PAS and PAS domain-containing(GSU1414)
2686444	sensor histidine kinase response receiver diguanylate cyclase(GSU3350)
2688605	quinone biosynthesis kinase AarF(GSU1088)
2687989	sensor diguanylate cyclase/phosphodiesterase, GAF and PAS domain-containing(GSU2044)
2688365	sensor histidine kinase CheA associated with MCPs of class 44H(cheA44H)
2685583	sensor histidine kinase(GSU0681)
2687650	sensor histidine kinase, HAMP domain-containing(GSU2144)
2687603	sensor histidine kinase, PAS domain-containing(GSU2667)

Gene Group 9	Enrichment Score: 1.4931408456369748
OFFICIAL_GENE_SYMBOL	Gene Name
2685337	indolepyruvate:ferredoxin oxidoreductase subunit alpha(iorA-1)
2685576	hydrogenase 2 protein HybA(hybA)
2686024	indolepyruvate:ferredoxin oxidoreductase subunit alpha(iorA-2)
2688169	pyruvate:ferredoxin/flavodoxin oxidoreductase(por)

Gene Group 10	Enrichment Score: 1.3906425158473377
OFFICIAL_GENE_SYMBOL	Gene Name
2687220	fructose-1,6-bisphosphatase(fbp)
2687658	pyruvate kinase(pyk)
2686931	enolase(eno)
2687107	6-phosphofructokinase(pfk-1)

Gene Group 11	Enrichment Score: 1.1800621149082509
OFFICIAL_GENE_SYMBOL	Gene Name
2685319	acetolactate synthase small subunit(ilvN)
2688407	ketol-acid reductoisomerase(ilvC)
2685257	acetolactate synthase large subunit(ilvB)
2685322	dihydroxy-acid dehydratase(ilvD)

Gene Group 12	Enrichment Score: 1.0966821638587347
OFFICIAL_GENE_SYMBOL	Gene Name
2687505	LysR family transcriptional regulator(GSU0266)
2688726	sigma-54-dependent sensor transcriptional response regulator(GSU1039)
2687641	winged-helix transcriptional response regulator(GSU2145)
2688721	response receiver histidine kinase(GSU1038)
2687214	sensor histidine kinase response receiver, PAS domain-containing(GSU0718)
2688151	sigma-54-dependent transcriptional response regulator(GSU1250)
2686365	response receiver-modulated cyclic diguanylate phosphodiesterase(GSU2574)
2687775	sigma-54-dependent transcriptional response regulator(GSU2581)
2687445	response receiver-modulated diguanylate cyclase(GSU1671)
2687863	sensor sigma-54-dependent transcriptional regulator(GSU2475)
2686303	sensor histidine kinase response regulator, PAS, PAS and PAS domain-containing(GSU1414)
2687478	nitrogen fixation master sigma-54-dependent transcriptional response regulator(gnfM)
2688651	sigma-54-dependent transcriptional response regulator(GSU0598)
2687002	response receiver CheY associated with MCPs of class 44H(cheY44H)
2687472	Fis family transcriptional regulator(GSU0280)
2685404	sigma-54-dependent transcriptional response regulator(GSU1653)
2685961	sigma-54-dependent transcriptional response regulator(GSU2753)
2686241	sigma-54-dependent transcriptional response regulator(GSU0470)
2688637	hypothetical protein(GSU1074)

Gene Group 13	Enrichment Score: 0.7998630112433786
OFFICIAL_GENE_SYMBOL	Gene Name
2686558	flagellar rod-binding protein FlgJ(flgJ)
2686784	flagellar hook-filament junction protein FlgL(flgL)
2686462	flagellar motor switch protein FliM(fliM)
2686668	flagellar protein FlaG(flaG)
2686456	flagellar motor switch protein FliN(fliN)
2686912	flagellar basal body P-ring formation protein FlgA(flgA)
2686520	flagellar export protein FliJ(fliJ)
2686564	flagellar biogenesis chaperone FlgN(flgN)
13439086	flagellar biogenesis protein FliO(fliO)

Gene Group 14	Enrichment Score: 0.5242744347346878
OFFICIAL_GENE_SYMBOL	Gene Name
2688178	branched-chain amino acid ABC transporter substrate-binding lipoprotein(GSU3401)
2687043	branched-chain amino acid ABC transporter substrate-binding protein(livK-1)
2687241	branched-chain amino acid ABC transporter substrate-binding protein(livK-2)
2685369	branched-chain amino acid ABC transporter membrane protein(livM)
2685356	branched-chain amino acid ABC transporter membrane protein(livH)

Gene Group 15	Enrichment Score: 0.12494641467484435
OFFICIAL_GENE_SYMBOL	Gene Name
2688131	F0F1 ATP synthase subunit beta(atpD)
2685451	preprotein translocase subunit SecG(secG)
2687168	methyl-accepting chemotaxis sensory transducer, class 40H(mcp40H-10)
13439129	ResB-like family cytochrome c biogenesis protein(GSU3614)
2687166	hypothetical protein(GSU0912)
2685250	ATP synthase F0 subunit C(atpE)
2687159	rhomboid-like membrane protein(GSU0851)
2686585	signal peptidase I(lepB)
2687157	protease, Abi superfamily(GSU1573)
2685239	M48 family peptidase(GSU0318)
2685810	ribonuclease BN-like protein(GSU2460)
2686190	ABC transporter membrane protein(ybhS)
2686380	cytochrome c(GSU3259)
2686757	type VI secretion system inner membrane protein TssL(tssL)
2686755	ATP synthase-associated magnesium import membrane protein AtpZ(atpZ)
2686562	cell division ABC transporter membrane protein FtsX(ftsX)
2687707	hypothetical protein(GSU3131)
2686177	hypothetical protein(GSU1479)
2685600	hypothetical protein(GSU0680)
2688465	cytochrome b/b6 complex, cytochrome b subunit(GSU2932)
13439086	flagellar biogenesis protein FliO(fliO)
2688078	F0F1 ATP synthase subunit alpha(atpA)
2686736	NADH dehydrogenase I subunit D(nuoD)
2686160	potassium uptake protein, Kup system(GSU2350)
2688261	membrane-bound proton-translocating pyrophosphatase(hppA)
2686731	NADH dehydrogenase I subunit L(nuoL-1)
2686727	NADH dehydrogenase I subunit M(nuoM-1)
2685387	GAF sensor methyl-accepting chemotaxis sensory transducer, class 40H(mcp40H-1)
2688628	ResC/HemX-like cytochrome c biogenesis membrane protein(GSU2890)
2687096	TerC family membrane protein(GSU1570)
2685567	hypothetical protein(GSU0788)
2687094	ComEC-like competence protein(GSU1657)
2685561	hypothetical protein(GSU1676)
2688426	RND family efflux pump membrane fusion protein(GSU1161)
2685369	branched-chain amino acid ABC transporter membrane protein(livM)
2685556	NADH dehydrogenase I subunit I(nuoI-1)
2685363	glycosyltransferase HpnI(hpnI)
2685744	preprotein translocase subunit YajC(yajC)
2686507	type II secretion system protein PulN(pulN)
2687651	amino acid ABC transporter membrane protein(GSU2650)
2688605	quinone biosynthesis kinase AarF(GSU1088)
2685356	branched-chain amino acid ABC transporter membrane protein(livH)
2686884	NADH dehydrogenase I subunit L(nuoL-2)
2686119	ABC transporter membrane protein, ABC-2 family(xapG)
2686499	methyl-accepting chemotaxis sensory transducer, class 34H(mcp34H-11)
2687263	NADH dehydrogenase I subunit H(nuoH-1)
2687448	AspT family membrane protein(GSU1016)
2685536	methyl-accepting chemotaxis sensory transducer, class 34H(mcp34H-3)
2688401	ABC transporter membrane protein(GSU1163)
2685344	rhomboid-like membrane protein(GSU1665)
2687818	hypothetical protein(GSU0188)
2686669	NADH dehydrogenase I subunit N(nuoN-1)
2687050	hypothetical protein(GSU1662)
2686284	preprotein translocase subunit SecF(secF)
2687426	twin-arginine translocation pathway protein, TatA/TatE family(hybT)
2686274	preprotein translocase subunit SecD(secD)
2687796	hypothetical protein(GSU0185)
2686073	hypothetical protein(GSU2638)
2686837	ABC transporter membrane protein(GSU1164)
2687786	hypothetical protein(GSU1449)
2687592	cytochrome c oxidase, coo3-type, cytochrome o subunit I(coxA)
2686062	sodium/solute symporter family protein(aplD)
2686824	NADH dehydrogenase I subunit C(nuoC)
2686822	ATP synthase F0 subunit A(atpB)
2686820	NADH dehydrogenase I subunit A(nuoA-1)
2686817	succinate dehydrogenase/fumarate reductase, cytochrome b558 subunit(frdC)
2688725	preprotein translocase subunit SecY(secY)
2686806	NADH dehydrogenase I subunit K(nuoK-1)
2686802	NADH dehydrogenase I subunit J(nuoJ-1)
2686419	diguanylate cyclase, HAMP domain-containing(GSU3356)
2687563	hypothetical protein(GSU2680)
2686798	NADH dehydrogenase I subunit B(nuoB)
2688135	hydrolase(GSU3451)

